,age,workclass,fnlwgt,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country
21851,-0.018735596209870836,3,0.656539646234518,13,2,2,0,4,1,-0.3002123014789703,-0.22296281257283612,0.7754097237549914,38
7632,1.0557171988063494,3,-0.6897934765711187,14,0,9,1,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
27878,-1.7940955430292727,3,0.3770456730967728,10,4,12,1,4,0,-0.3002123014789703,-0.22296281257283612,-1.2481494389613126,38
14121,-1.6516031067192836,3,-0.7105119635833338,9,4,5,3,4,1,-0.3002123014789703,-0.22296281257283612,-0.8434376064180519,38
32345,1.1076438220528073,6,-0.22854780944040026,9,2,9,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
24997,-0.0969941081635854,5,-0.5203001886930395,9,0,11,1,4,1,-0.3002123014789703,-0.22296281257283612,0.7754097237549914,38
11744,0.4094939840831503,3,0.14130619108242753,10,4,6,4,2,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
8045,0.6011557298060716,3,-0.7184664733063869,13,2,3,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
28922,0.20362252216473475,3,0.6489039670928914,10,4,7,1,4,0,-0.3002123014789703,-0.22296281257283612,-1.2481494389613126,38
26073,-0.6194019772687447,5,0.0051282922391540035,6,2,2,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.43872577387479106,38
10147,-1.3868320506266634,3,0.6079623820220557,9,0,5,3,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
6338,-1.7940955430292727,3,0.1061043664871533,9,4,11,3,4,1,-0.3002123014789703,-0.22296281257283612,-3.0288815021516604,38
17370,-1.5160643497827802,3,0.3113717122544799,9,4,6,3,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
8250,0.5387262832392657,5,-0.1354628088360694,10,4,2,3,4,1,-0.3002123014789703,-0.22296281257283612,-2.300400203573791,38
3504,1.9451404963204755,3,0.6616076568799923,9,2,6,0,4,1,3.0137093477763877,-0.22296281257283612,-0.034013941331530254,8
17677,-0.2604526323639866,3,-0.4782511250796808,11,0,0,1,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
10683,-1.2633453449544967,3,0.849796343587931,13,4,0,1,4,0,-0.3002123014789703,-0.22296281257283612,-1.410034171978617,38
5387,-1.6516031067192836,3,1.123779042447587,10,4,6,1,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
28952,-0.7168854341795278,3,0.9634018741878598,9,5,11,4,2,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
30084,-0.4341337751256561,4,-0.5493365549324538,9,4,2,1,4,1,-0.3002123014789703,-0.22296281257283612,0.3706978912117306,38
17681,-1.6516031067192836,3,0.4993746336698672,9,2,9,3,4,0,-0.3002123014789703,-0.22296281257283612,-0.3577834073661389,38
30855,-0.6194019772687447,3,0.3569111774495339,9,2,11,0,4,1,-0.3002123014789703,-0.22296281257283612,0.7754097237549914,38
13879,0.34255114341352566,5,0.9120144937311175,11,0,11,1,4,1,-0.3002123014789703,-0.22296281257283612,1.584833388841513,38
11966,-0.0969941081635854,3,0.5629344508149545,9,2,13,0,2,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
16054,-0.177521295996111,3,0.33591523588259775,13,2,11,0,4,1,-0.3002123014789703,-0.22296281257283612,1.584833388841513,38
27835,-1.2633453449544967,3,0.3484740816568444,10,4,7,3,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
10284,0.8938465531625894,1,0.12384388661230666,14,2,9,5,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
6407,0.47486155198064567,3,0.26014972850180695,11,0,6,1,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
17572,-0.018735596209870836,0,0.6371714820290287,12,2,7,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
4013,-0.6194019772687447,3,0.15927197618306585,11,0,12,1,4,0,2.823592099236035,-0.22296281257283612,0.3706978912117306,38
26271,-1.5160643497827802,3,1.0708804343844418,3,4,5,1,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,25
26877,-1.2633453449544967,3,0.9559175770417441,9,4,6,3,4,1,-0.3002123014789703,-0.22296281257283612,-0.8434376064180519,38
5975,-0.0969941081635854,3,-0.059339482748398294,9,4,5,1,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
13688,-1.2633453449544967,1,-3.063031588286716,9,4,9,1,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
22530,0.34255114341352566,3,0.6323726423012201,3,2,4,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,25
32031,-0.177521295996111,3,-0.5768116984074609,6,4,7,4,2,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,22
19928,0.8938465531625894,3,0.3193888858481863,12,2,3,0,4,1,-0.3002123014789703,-0.22296281257283612,0.7754097237549914,38
10201,0.7219570863477152,3,1.288304843413716,4,0,5,2,2,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
29801,-0.3459360988692954,5,-2.397294674033374,9,2,2,0,4,1,-0.3002123014789703,-0.22296281257283612,0.7754097237549914,38
2373,1.7068808264610504,1,0.2766554365442661,16,4,9,1,4,0,3.347745149134842,-0.22296281257283612,0.7754097237549914,38
18398,0.6011557298060716,3,0.0230616876033137,9,0,11,1,4,0,-0.3002123014789703,-0.22296281257283612,-0.43872577387479106,38
4809,0.47486155198064567,1,0.3072700724049447,14,4,9,1,4,1,-0.3002123014789703,-0.22296281257283612,-0.19589867434883457,38
24142,-0.7168854341795278,3,-1.435953098717534,9,2,2,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
11098,0.05737857487379639,5,-1.1006013368395466,9,2,3,0,4,1,-0.3002123014789703,-0.22296281257283612,1.584833388841513,38
6151,-1.3868320506266634,3,0.5647627249180222,6,4,2,1,4,1,-0.3002123014789703,-0.22296281257283612,-0.8434376064180519,38
3996,-1.7940955430292727,3,-2.1310519565813903,9,4,13,3,4,1,2.8239657133771585,-0.22296281257283612,0.3706978912117306,38
31811,1.5796222349966338,3,-2.4656578162404688,10,6,14,1,4,1,-0.3002123014789703,-0.22296281257283612,-2.9479391356430082,38
31173,0.5387262832392657,3,0.7011911806967245,13,0,14,1,4,1,-0.3002123014789703,-0.22296281257283612,0.7754097237549914,38
5142,1.4462529381151081,3,-0.3940165451766887,9,2,6,0,4,1,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
29319,0.5387262832392657,3,0.21428943058148553,15,2,3,0,4,1,-0.3002123014789703,-0.22296281257283612,1.180121556298252,38
2080,1.257842209099336,4,-0.3615937120745948,15,2,9,0,4,1,3.60921413168633,-0.22296281257283612,1.584833388841513,38
24692,-1.2633453449544967,3,-1.1797336288534936,10,4,0,1,4,0,-0.3002123014789703,-0.22296281257283612,-0.034013941331530254,38
7963,1.3061563565971845,3,-0.19105768047523689,9,6,14,1,4,0,-0.3002123014789703,-0.22296281257283612,-2.300400203573791,38
